Date;Close
02/01/2013;1820
03/01/2013;1830
04/01/2013;1810
07/01/2013;1840
08/01/2013;1830
09/01/2013;1820
10/01/2013;1780
11/01/2013;1770
14/01/2013;1820
15/01/2013;1830
16/01/2013;1830
17/01/2013;1830
18/01/2013;1900
21/01/2013;1860
22/01/2013;1860
23/01/2013;1860
25/01/2013;1870
28/01/2013;1860
29/01/2013;1890
30/01/2013;1890
31/01/2013;1930
01/02/2013;1970
04/02/2013;2010
05/02/2013;1980
06/02/2013;1980
07/02/2013;2010
08/02/2013;1990
11/02/2013;2030
12/02/2013;2010
13/02/2013;1970
14/02/2013;2000
15/02/2013;2010
18/02/2013;2040
19/02/2013;2050
20/02/2013;2060
21/02/2013;2070
22/02/2013;2110
25/02/2013;2260
26/02/2013;2160
27/02/2013;2130
28/02/2013;2200
01/03/2013;2140
04/03/2013;2140
05/03/2013;2100
06/03/2013;2140
07/03/2013;2150
08/03/2013;2160
11/03/2013;2150
13/03/2013;2140
14/03/2013;2130
15/03/2013;2150
18/03/2013;2130
19/03/2013;2140
20/03/2013;2180
21/03/2013;2150
22/03/2013;2120
25/03/2013;2180
26/03/2013;2130
27/03/2013;2200
28/03/2013;2280
01/04/2013;2200
02/04/2013;2210
03/04/2013;2240
04/04/2013;2170
05/04/2013;2210
08/04/2013;2140
09/04/2013;2120
10/04/2013;2110
11/04/2013;2160
12/04/2013;2180
15/04/2013;2120
16/04/2013;2160
17/04/2013;2200
18/04/2013;2200
19/04/2013;2200
22/04/2013;2180
23/04/2013;2180
24/04/2013;2210
25/04/2013;2220
26/04/2013;2150
29/04/2013;2200
30/04/2013;2150
01/05/2013;2150
02/05/2013;2130
03/05/2013;2150
06/05/2013;2190
07/05/2013;2190
08/05/2013;2200
10/05/2013;2210
13/05/2013;2210
14/05/2013;2200
15/05/2013;2200
16/05/2013;2180
17/05/2013;2200
20/05/2013;2180
21/05/2013;2200
22/05/2013;2190
23/05/2013;2180
24/05/2013;2190
27/05/2013;2140
28/05/2013;2180
29/05/2013;2200
30/05/2013;2160
31/05/2013;2070
03/06/2013;1990
04/06/2013;2020
05/06/2013;2010
07/06/2013;1920
10/06/2013;1890
11/06/2013;1850
12/06/2013;1880
13/06/2013;1860
14/06/2013;1960
17/06/2013;1990
18/06/2013;2010
19/06/2013;1990
20/06/2013;1890
21/06/2013;1840
24/06/2013;1820
25/06/2013;1790
26/06/2013;1870
27/06/2013;1890
28/06/2013;2000
01/07/2013;1980
02/07/2013;1990
03/07/2013;1890
04/07/2013;1910
05/07/2013;1900
08/07/2013;1820
09/07/2013;1850
10/07/2013;1890
11/07/2013;1960
12/07/2013;2020
15/07/2013;2040
16/07/2013;2020
17/07/2013;2040
18/07/2013;2040
19/07/2013;2040
22/07/2013;2000
23/07/2013;2060
24/07/2013;2080
25/07/2013;2040
26/07/2013;2070
29/07/2013;2020
30/07/2013;2060
31/07/2013;2080
01/08/2013;2090
02/08/2013;2140
12/08/2013;2060
13/08/2013;2140
14/08/2013;2180
15/08/2013;2150
16/08/2013;2060
19/08/2013;1900
20/08/2013;1890
21/08/2013;1920
22/08/2013;1870
23/08/2013;1870
26/08/2013;1820
27/08/2013;1790
28/08/2013;1830
29/08/2013;1800
30/08/2013;1810
02/09/2013;1780
03/09/2013;1770
04/09/2013;1710
05/09/2013;1720
06/09/2013;1760
09/09/2013;1870
10/09/2013;1960
11/09/2013;1980
12/09/2013;1990
13/09/2013;1990
16/09/2013;2010
17/09/2013;2020
18/09/2013;2020
19/09/2013;2160
20/09/2013;2100
23/09/2013;2130
24/09/2013;2090
25/09/2013;2090
26/09/2013;2070
27/09/2013;2060
30/09/2013;2000
01/10/2013;2000
02/10/2013;2060
03/10/2013;2090
04/10/2013;2080
07/10/2013;2070
08/10/2013;2090
09/10/2013;2080
10/10/2013;2120
11/10/2013;2140
16/10/2013;2110
17/10/2013;2110
18/10/2013;2120
21/10/2013;2140
22/10/2013;2110
23/10/2013;2100
24/10/2013;2140
25/10/2013;2150
28/10/2013;2150
29/10/2013;2120
30/10/2013;2140
31/10/2013;2090
01/11/2013;2080
04/11/2013;2070
06/11/2013;2090
07/11/2013;2120
08/11/2013;2070
11/11/2013;2050
12/11/2013;2010
13/11/2013;1990
14/11/2013;2010
15/11/2013;2040
18/11/2013;2060
19/11/2013;2040
20/11/2013;2010
21/11/2013;1970
22/11/2013;2000
25/11/2013;2030
26/11/2013;1930
27/11/2013;1940
28/11/2013;1950
29/11/2013;1930
02/12/2013;1960
03/12/2013;1960
04/12/2013;1930
05/12/2013;1910
06/12/2013;1900
09/12/2013;1880
10/12/2013;1960
11/12/2013;1970
12/12/2013;1930
13/12/2013;1900
16/12/2013;1870
17/12/2013;1900
18/12/2013;1890
19/12/2013;1910
20/12/2013;1850
23/12/2013;1900
24/12/2013;1890
27/12/2013;1880
30/12/2013;1920
02/01/2014;1960
03/01/2014;1900
06/01/2014;1870
07/01/2014;1875
08/01/2014;1865
09/01/2014;1880
10/01/2014;1880
13/01/2014;1960
15/01/2014;1990
16/01/2014;2000
17/01/2014;1980
20/01/2014;1965
21/01/2014;1970
22/01/2014;1980
23/01/2014;2040
24/01/2014;2035
27/01/2014;1960
28/01/2014;2000
29/01/2014;2000
30/01/2014;1985
03/02/2014;1965
04/02/2014;1970
05/02/2014;1990
06/02/2014;2030
07/02/2014;2050
10/02/2014;2010
11/02/2014;2030
12/02/2014;2060
13/02/2014;2050
14/02/2014;2075
17/02/2014;2095
18/02/2014;2080
19/02/2014;2050
20/02/2014;2080
21/02/2014;2090
24/02/2014;2080
25/02/2014;2075
26/02/2014;2055
27/02/2014;2060
28/02/2014;2045
03/03/2014;2055
04/03/2014;2095
05/03/2014;2110
06/03/2014;2115
07/03/2014;2120
10/03/2014;2100
11/03/2014;2080
12/03/2014;2070
13/03/2014;2075
14/03/2014;2215
17/03/2014;2190
18/03/2014;2160
19/03/2014;2140
20/03/2014;2085
21/03/2014;2065
24/03/2014;2055
25/03/2014;2060
26/03/2014;2075
27/03/2014;2070
28/03/2014;2120
01/04/2014;2190
02/04/2014;2180
03/04/2014;2190
04/04/2014;2170
07/04/2014;2180
08/04/2014;2190
09/04/2014;2190
10/04/2014;2180
11/04/2014;2220
14/04/2014;2250
15/04/2014;2220
16/04/2014;2210
17/04/2014;2240
21/04/2014;2235
22/04/2014;2210
23/04/2014;2210
24/04/2014;2200
25/04/2014;2200
28/04/2014;2120
29/04/2014;2200
30/04/2014;2200
02/05/2014;2195
05/05/2014;2195
06/05/2014;2200
07/05/2014;2200
08/05/2014;2210
09/05/2014;2240
12/05/2014;2240
13/05/2014;2240
14/05/2014;2270
16/05/2014;2270
19/05/2014;2270
20/05/2014;2230
21/05/2014;2235
22/05/2014;2285
23/05/2014;2275
26/05/2014;2260
28/05/2014;2255
30/05/2014;2155
02/06/2014;2230
03/06/2014;2250
04/06/2014;2210
05/06/2014;2210
06/06/2014;2210
09/06/2014;2215
10/06/2014;2250
11/06/2014;2250
12/06/2014;2240
13/06/2014;2215
16/06/2014;2205
17/06/2014;2215
18/06/2014;2205
19/06/2014;2210
20/06/2014;2180
23/06/2014;2200
