Date; Open ; High ; Low ; Close ; Adj Close ;Volume
02/01/2013;1.820.000.000;1.850.000.000;1.800.000.000;1.820.000.000;1.514.290.527;17272500
03/01/2013;1.830.000.000;1.850.000.000;1.810.000.000;1.830.000.000;1.522.610.962;42030000
04/01/2013;1.810.000.000;1.840.000.000;1.800.000.000;1.810.000.000;1.505.970.459;15
07/01/2013;1.840.000.000;1.850.000.000;1.810.000.000;1.840.000.000;1.530.930.908;77035000
08/01/2013;1.830.000.000;1.850.000.000;1.820.000.000;1.830.000.000;1.522.610.962;57940000
09/01/2013;1.820.000.000;1.840.000.000;1.800.000.000;1.820.000.000;1.514.290.527;53327500
10/01/2013;1.780.000.000;1.820.000.000;1.780.000.000;1.780.000.000;1.481.009.644;72327500
11/01/2013;1.770.000.000;1.800.000.000;1.770.000.000;1.770.000.000;1.472.689.209;61210000
14/01/2013;1.820.000.000;1.820.000.000;1.780.000.000;1.820.000.000;1.514.290.527;57025000
15/01/2013;1.830.000.000;1.830.000.000;1.810.000.000;1.830.000.000;1.522.610.962;58432500
16/01/2013;1.830.000.000;1.830.000.000;1.810.000.000;1.830.000.000;1.522.610.962;61665000
17/01/2013;1.830.000.000;1.840.000.000;1.810.000.000;1.830.000.000;1.522.610.962;57637500
18/01/2013;1.900.000.000;1.900.000.000;1.820.000.000;1.900.000.000;1.580.852.539;68715000
21/01/2013;1.860.000.000;1.900.000.000;1.860.000.000;1.860.000.000;1.547.571.533;42340000
22/01/2013;1.860.000.000;1.860.000.000;1.820.000.000;1.860.000.000;1.547.571.533;58305000
23/01/2013;1.860.000.000;1.860.000.000;1.830.000.000;1.860.000.000;1.547.571.533;42685000
25/01/2013;1.870.000.000;1.880.000.000;1.850.000.000;1.870.000.000;1.555.891.968;55445000
28/01/2013;1.860.000.000;1.870.000.000;1.840.000.000;1.860.000.000;1.547.571.533;51417500
29/01/2013;1.890.000.000;1.900.000.000;1.860.000.000;1.890.000.000;1.572.532.227;43950000
30/01/2013;1.890.000.000;1.910.000.000;1.870.000.000;1.890.000.000;1.572.532.227;66112500
31/01/2013;1.930.000.000;1.950.000.000;1.900.000.000;1.930.000.000;1.605.813.843;117667500
01/02/2013;1.970.000.000;2.010.000.000;1.930.000.000;1.970.000.000;1.639.094.727;86365000
04/02/2013;2.010.000.000;2.020.000.000;1.990.000.000;2.010.000.000;1.672.376.099;94540000
05/02/2013;1.980.000.000;2.040.000.000;1.980.000.000;1.980.000.000;1.647.415.283;92840000
06/02/2013;1.980.000.000;2.000.000.000;1.960.000.000;1.980.000.000;1.647.415.283;63205000
07/02/2013;2.010.000.000;2.010.000.000;1.980.000.000;2.010.000.000;1.672.376.099;63375000
08/02/2013;1.990.000.000;2.020.000.000;1.980.000.000;1.990.000.000;1.655.735.107;39770000
11/02/2013;2.030.000.000;2.030.000.000;1.990.000.000;2.030.000.000;1.689.016.357;11472500
12/02/2013;2.010.000.000;2.030.000.000;1.990.000.000;2.010.000.000;1.672.376.099;25785000
13/02/2013;1.970.000.000;2.010.000.000;1.960.000.000;1.970.000.000;1.639.094.727;55012500
14/02/2013;2.000.000.000;2.000.000.000;1.990.000.000;2.000.000.000;1.664.055.786;74697500
15/02/2013;2.010.000.000;2.020.000.000;1.990.000.000;2.010.000.000;1.672.376.099;39815000
18/02/2013;2.040.000.000;2.050.000.000;2.010.000.000;2.040.000.000;1.697.336.792;58192500
19/02/2013;2.050.000.000;2.050.000.000;2.020.000.000;2.050.000.000;1.705.657.227;33442500
20/02/2013;2.060.000.000;2.070.000.000;2.040.000.000;2.060.000.000;1.713.977.173;60172500
21/02/2013;2.070.000.000;2.080.000.000;2.030.000.000;2.070.000.000;1.722.297.485;41210000
22/02/2013;2.110.000.000;2.110.000.000;2.070.000.000;2.110.000.000;1.755.578.857;15
25/02/2013;2.260.000.000;2.260.000.000;2.120.000.000;2.260.000.000;1.880.383.057;51457500
26/02/2013;2.160.000.000;2.200.000.000;2.090.000.000;2.160.000.000;1.797.179.932;52450000
27/02/2013;2.130.000.000;2.170.000.000;2.110.000.000;2.130.000.000;1.772.218.994;69830000
28/02/2013;2.200.000.000;2.200.000.000;2.140.000.000;2.200.000.000;1.830.460.693;64185000
01/03/2013;2.140.000.000;2.180.000.000;2.130.000.000;2.140.000.000;1.780.539.429;50347500
04/03/2013;2.140.000.000;2.140.000.000;2.140.000.000;2.140.000.000;1.780.539.429;0
05/03/2013;2.100.000.000;2.170.000.000;2.100.000.000;2.100.000.000;1.747.258.667;53132500
06/03/2013;2.140.000.000;2.160.000.000;2.110.000.000;2.140.000.000;1.780.539.429;46110000
07/03/2013;2.150.000.000;2.180.000.000;2.120.000.000;2.150.000.000;1.788.859.619;41627500
08/03/2013;2.160.000.000;2.180.000.000;2.140.000.000;2.160.000.000;1.797.179.932;50730000
11/03/2013;2.150.000.000;2.180.000.000;2.140.000.000;2.150.000.000;1.788.859.619;37485000
13/03/2013;2.140.000.000;2.160.000.000;2.120.000.000;2.140.000.000;1.780.539.429;81725000
14/03/2013;2.140.000.000;2.150.000.000;2.120.000.000;2.130.000.000;1.772.218.994;76367500
15/03/2013;2.140.000.000;2.160.000.000;2.130.000.000;2.150.000.000;1.788.859.619;69972500
18/03/2013;2.130.000.000;2.140.000.000;2.120.000.000;2.130.000.000;1.772.218.994;78970000
19/03/2013;2.140.000.000;2.170.000.000;2.140.000.000;2.140.000.000;1.780.539.429;64912500
20/03/2013;2.160.000.000;2.180.000.000;2.130.000.000;2.180.000.000;1.813.820.435;71960000
21/03/2013;2.180.000.000;2.180.000.000;2.140.000.000;2.150.000.000;1.788.859.619;54885000
22/03/2013;2.140.000.000;2.170.000.000;2.120.000.000;2.120.000.000;1.763.898.682;79960000
25/03/2013;2.100.000.000;2.180.000.000;2.100.000.000;2.180.000.000;1.813.820.435;26472500
26/03/2013;2.170.000.000;2.180.000.000;2.130.000.000;2.130.000.000;1.772.218.994;47417500
27/03/2013;2.140.000.000;2.230.000.000;2.140.000.000;2.200.000.000;1.830.460.693;90137500
28/03/2013;2.220.000.000;2.280.000.000;2.170.000.000;2.280.000.000;1.897.022.949;36450000
01/04/2013;2.200.000.000;2.240.000.000;2.190.000.000;2.200.000.000;1.830.460.693;13892500
02/04/2013;2.240.000.000;2.240.000.000;2.210.000.000;2.210.000.000;1.838.781.250;19645000
03/04/2013;2.240.000.000;2.250.000.000;2.200.000.000;2.240.000.000;1.863.741.943;15
04/04/2013;2.240.000.000;2.240.000.000;2.170.000.000;2.170.000.000;1.805.500.488;47235000
05/04/2013;2.190.000.000;2.210.000.000;2.170.000.000;2.210.000.000;1.838.781.250;32585000
08/04/2013;2.200.000.000;2.210.000.000;2.130.000.000;2.140.000.000;1.780.539.429;98920000
09/04/2013;2.160.000.000;2.170.000.000;2.110.000.000;2.120.000.000;1.763.898.682;68320000
10/04/2013;2.140.000.000;2.150.000.000;2.090.000.000;2.110.000.000;1.755.578.857;76150000
11/04/2013;2.130.000.000;2.160.000.000;2.120.000.000;2.160.000.000;1.797.179.932;89122500
12/04/2013;2.170.000.000;2.190.000.000;2.150.000.000;2.180.000.000;1.813.820.435;57235000
15/04/2013;2.160.000.000;2.160.000.000;2.120.000.000;2.120.000.000;1.763.898.682;68192500
16/04/2013;2.130.000.000;2.170.000.000;2.120.000.000;2.160.000.000;1.797.179.932;59685000
17/04/2013;2.170.000.000;2.200.000.000;2.160.000.000;2.200.000.000;1.830.460.693;84745000
18/04/2013;2.180.000.000;2.200.000.000;2.180.000.000;2.200.000.000;1.830.460.693;48295000
19/04/2013;2.210.000.000;2.210.000.000;2.180.000.000;2.200.000.000;1.830.460.693;30870000
22/04/2013;2.200.000.000;2.210.000.000;2.150.000.000;2.180.000.000;1.813.820.435;43217500
23/04/2013;2.180.000.000;2.180.000.000;2.180.000.000;2.180.000.000;1.813.820.435;0
24/04/2013;2.160.000.000;2.210.000.000;2.150.000.000;2.210.000.000;1.838.781.250;67985000
25/04/2013;2.190.000.000;2.220.000.000;2.180.000.000;2.220.000.000;1.847.101.563;43275000
26/04/2013;2.220.000.000;2.220.000.000;2.150.000.000;2.150.000.000;1.788.859.619;40227500
29/04/2013;2.180.000.000;2.200.000.000;2.170.000.000;2.200.000.000;1.830.460.693;52362500
30/04/2013;2.190.000.000;2.190.000.000;2.140.000.000;2.150.000.000;1.788.859.619;219367500
01/05/2013;2.140.000.000;2.150.000.000;2.130.000.000;2.150.000.000;1.788.859.619;63260000
02/05/2013;2.140.000.000;2.170.000.000;2.130.000.000;2.130.000.000;1.772.218.994;101727500
03/05/2013;2.150.000.000;2.160.000.000;2.130.000.000;2.150.000.000;1.788.859.619;29542500
06/05/2013;2.160.000.000;2.200.000.000;2.160.000.000;2.190.000.000;1.822.141.113;42975000
07/05/2013;2.200.000.000;2.200.000.000;2.170.000.000;2.190.000.000;1.822.141.113;40920000
08/05/2013;2.200.000.000;2.210.000.000;2.180.000.000;2.200.000.000;1.830.460.693;24297500
10/05/2013;2.200.000.000;2.210.000.000;2.180.000.000;2.210.000.000;1.838.781.250;40982500
13/05/2013;2.200.000.000;2.210.000.000;2.170.000.000;2.210.000.000;1.838.781.250;41902500
14/05/2013;2.220.000.000;2.220.000.000;2.180.000.000;2.200.000.000;1.830.460.693;39110000
15/05/2013;2.210.000.000;2.210.000.000;2.180.000.000;2.200.000.000;1.830.460.693;26505000
16/05/2013;2.190.000.000;2.200.000.000;2.170.000.000;2.180.000.000;1.813.820.435;53305000
17/05/2013;2.160.000.000;2.200.000.000;2.160.000.000;2.200.000.000;1.830.460.693;33765000
20/05/2013;2.210.000.000;2.230.000.000;2.180.000.000;2.180.000.000;1.813.820.435;70080000
21/05/2013;2.200.000.000;2.210.000.000;2.180.000.000;2.200.000.000;1.830.460.693;53060000
22/05/2013;2.200.000.000;2.210.000.000;2.190.000.000;2.190.000.000;1.822.141.113;28505000
23/05/2013;2.200.000.000;2.210.000.000;2.160.000.000;2.180.000.000;1.813.820.435;67457500
24/05/2013;2.190.000.000;2.210.000.000;2.190.000.000;2.190.000.000;1.822.141.113;40755000
27/05/2013;2.200.000.000;2.210.000.000;2.140.000.000;2.140.000.000;1.780.539.429;68725000
28/05/2013;2.130.000.000;2.200.000.000;2.130.000.000;2.180.000.000;1.813.820.435;32057500
29/05/2013;2.170.000.000;2.210.000.000;2.160.000.000;2.200.000.000;1.842.462.280;78410000
30/05/2013;2.170.000.000;2.180.000.000;2.150.000.000;2.160.000.000;1.808.963.013;46785000
31/05/2013;2.160.000.000;2.160.000.000;2.070.000.000;2.070.000.000;1.733.589.966;135412500
03/06/2013;2.070.000.000;2.070.000.000;1.990.000.000;1.990.000.000;1.666.590.942;199652500
04/06/2013;1.980.000.000;2.040.000.000;1.970.000.000;2.020.000.000;1.691.715.576;97930000
