Date;Close
02/01/2013;1862
03/01/2013;1862
04/01/2013;1900
07/01/2013;1900
08/01/2013;1937
09/01/2013;1887
10/01/2013;1850
11/01/2013;1837
14/01/2013;1862
15/01/2013;1900
16/01/2013;1875
17/01/2013;1862
18/01/2013;1925
21/01/2013;1925
22/01/2013;1900
23/01/2013;1925
25/01/2013;1937
28/01/2013;1937
29/01/2013;1937
30/01/2013;1950
31/01/2013;1962
01/02/2013;2125
04/02/2013;2112
05/02/2013;2100
06/02/2013;2100
07/02/2013;2137
08/02/2013;2125
11/02/2013;2125
12/02/2013;2125
13/02/2013;2162
14/02/2013;2187
15/02/2013;2200
18/02/2013;2162
19/02/2013;2125
20/02/2013;2125
21/02/2013;2162
22/02/2013;2187
25/02/2013;2187
26/02/2013;2200
27/02/2013;2187
28/02/2013;2300
01/03/2013;2425
04/03/2013;2425
05/03/2013;2362
06/03/2013;2375
07/03/2013;2400
08/03/2013;2387
11/03/2013;2412
13/03/2013;2387
14/03/2013;2337
15/03/2013;2337
18/03/2013;2350
19/03/2013;2400
20/03/2013;2412
21/03/2013;2387
22/03/2013;2262
25/03/2013;2325
26/03/2013;2412
27/03/2013;2500
28/03/2013;2525
01/04/2013;2525
02/04/2013;2462
03/04/2013;2475
04/04/2013;2425
05/04/2013;2525
08/04/2013;2475
09/04/2013;2462
10/04/2013;2437
11/04/2013;2487
12/04/2013;2525
15/04/2013;2487
16/04/2013;2500
17/04/2013;2625
18/04/2013;2625
19/04/2013;2650
22/04/2013;2675
23/04/2013;2675
24/04/2013;2600
25/04/2013;2625
26/04/2013;2675
29/04/2013;2650
30/04/2013;2700
01/05/2013;2775
02/05/2013;2675
03/05/2013;2650
06/05/2013;2650
07/05/2013;2700
08/05/2013;2675
10/05/2013;2700
13/05/2013;2625
14/05/2013;2750
15/05/2013;2700
16/05/2013;2700
17/05/2013;2650
20/05/2013;2700
21/05/2013;2700
22/05/2013;2725
23/05/2013;2625
24/05/2013;2550
27/05/2013;2475
28/05/2013;2525
29/05/2013;2600
30/05/2013;2525
31/05/2013;2437
03/06/2013;2375
04/06/2013;2375
05/06/2013;2400
07/06/2013;2350
10/06/2013;2325
11/06/2013;2250
12/06/2013;2250
13/06/2013;2225
14/06/2013;2350
17/06/2013;2387
18/06/2013;2412
19/06/2013;2350
20/06/2013;2162
21/06/2013;2075
24/06/2013;2050
25/06/2013;2012
26/06/2013;2100
27/06/2013;2137
28/06/2013;2150
01/07/2013;2150
02/07/2013;2075
03/07/2013;2037
04/07/2013;2000
05/07/2013;2037
08/07/2013;1925
09/07/2013;1912
10/07/2013;1962
11/07/2013;2100
12/07/2013;2100
15/07/2013;2087
16/07/2013;2087
17/07/2013;2112
18/07/2013;2162
19/07/2013;2187
22/07/2013;2112
23/07/2013;2175
24/07/2013;2137
25/07/2013;2162
26/07/2013;2200
29/07/2013;2187
30/07/2013;2187
31/07/2013;2137
01/08/2013;2125
02/08/2013;2150
12/08/2013;2150
13/08/2013;2175
14/08/2013;2175
15/08/2013;2150
16/08/2013;2050
19/08/2013;1937
20/08/2013;1850
21/08/2013;1875
22/08/2013;1850
23/08/2013;1837
26/08/2013;1862
27/08/2013;1800
28/08/2013;1837
29/08/2013;1912
30/08/2013;1925
02/09/2013;1775
03/09/2013;1837
04/09/2013;1750
05/09/2013;1750
06/09/2013;1725
09/09/2013;1825
10/09/2013;2050
11/09/2013;2075
12/09/2013;2137
13/09/2013;2137
16/09/2013;2200
17/09/2013;2200
18/09/2013;2112
19/09/2013;2312
20/09/2013;2162
23/09/2013;2162
24/09/2013;2125
25/09/2013;2175
26/09/2013;2112
27/09/2013;2137
30/09/2013;2037
01/10/2013;2125
02/10/2013;2137
03/10/2013;2150
04/10/2013;2125
07/10/2013;2175
08/10/2013;2212
09/10/2013;2187
10/10/2013;2212
11/10/2013;2262
16/10/2013;2250
17/10/2013;2262
18/10/2013;2275
21/10/2013;2325
22/10/2013;2287
23/10/2013;2300
24/10/2013;2362
25/10/2013;2400
28/10/2013;2412
29/10/2013;2387
30/10/2013;2412
31/10/2013;2400
01/11/2013;2287
04/11/2013;2300
06/11/2013;2325
07/11/2013;2312
08/11/2013;2300
11/11/2013;2262
12/11/2013;2162
13/11/2013;2100
14/11/2013;2175
15/11/2013;2150
18/11/2013;2237
19/11/2013;2237
20/11/2013;2187
21/11/2013;2175
22/11/2013;2150
25/11/2013;2162
26/11/2013;2075
27/11/2013;2062
28/11/2013;2062
29/11/2013;2050
02/12/2013;2125
03/12/2013;2100
04/12/2013;2037
05/12/2013;1962
06/12/2013;1950
09/12/2013;1950
10/12/2013;1987
11/12/2013;1987
12/12/2013;1925
13/12/2013;1912
16/12/2013;1900
17/12/2013;1950
18/12/2013;1950
19/12/2013;1962
20/12/2013;1950
23/12/2013;1950
24/12/2013;1950
27/12/2013;1950
30/12/2013;1975
02/01/2014;1975
03/01/2014;1925
06/01/2014;1840
07/01/2014;1837
08/01/2014;1862
09/01/2014;1910
10/01/2014;1965
13/01/2014;2112
15/01/2014;2187
16/01/2014;2152
17/01/2014;2137
20/01/2014;2117
21/01/2014;2132
22/01/2014;2115
23/01/2014;2137
24/01/2014;2150
27/01/2014;2110
28/01/2014;2165
29/01/2014;2185
30/01/2014;2180
03/02/2014;2135
04/02/2014;2110
05/02/2014;2090
06/02/2014;2115
07/02/2014;2125
10/02/2014;2140
11/02/2014;2140
12/02/2014;2155
13/02/2014;2157
14/02/2014;2190
17/02/2014;2235
18/02/2014;2225
19/02/2014;2235
20/02/2014;2250
21/02/2014;2362
24/02/2014;2327
25/02/2014;2272
26/02/2014;2207
27/02/2014;2252
28/02/2014;2275
03/03/2014;2225
04/03/2014;2252
05/03/2014;2310
06/03/2014;2405
07/03/2014;2412
10/03/2014;2420
11/03/2014;2425
12/03/2014;2425
13/03/2014;2427
14/03/2014;2587
17/03/2014;2575
18/03/2014;2525
19/03/2014;2490
20/03/2014;2382
21/03/2014;2400
24/03/2014;2405
25/03/2014;2400
26/03/2014;2425
27/03/2014;2450
28/03/2014;2480
01/04/2014;2575
02/04/2014;2575
03/04/2014;2612
04/04/2014;2562
07/04/2014;2575
08/04/2014;2600
09/04/2014;2600
10/04/2014;2455
11/04/2014;2460
14/04/2014;2475
15/04/2014;2497
16/04/2014;2512
17/04/2014;2525
21/04/2014;2537
22/04/2014;2537
23/04/2014;2537
24/04/2014;2500
25/04/2014;2525
28/04/2014;2485
29/04/2014;2417
30/04/2014;2407
02/05/2014;2412
05/05/2014;2387
06/05/2014;2390
07/05/2014;2410
08/05/2014;2430
09/05/2014;2432
12/05/2014;2427
