Date;Close
02/01/2013;1281
03/01/2013;1309
04/01/2013;1336
07/01/2013;1345
08/01/2013;1363
09/01/2013;1345
10/01/2013;1345
11/01/2013;1354
14/01/2013;1390
15/01/2013;1418
16/01/2013;1427
17/01/2013;1436
18/01/2013;1454
21/01/2013;1436
22/01/2013;1381
23/01/2013;1418
25/01/2013;1427
28/01/2013;1436
29/01/2013;1418
30/01/2013;1427
31/01/2013;1445
01/02/2013;1454
04/02/2013;1472
05/02/2013;1472
06/02/2013;1481
07/02/2013;1481
08/02/2013;1463
11/02/2013;1481
12/02/2013;1527
13/02/2013;1581
14/02/2013;1554
15/02/2013;1581
18/02/2013;1572
19/02/2013;1581
20/02/2013;1563
21/02/2013;1545
22/02/2013;1554
25/02/2013;1572
26/02/2013;1563
27/02/2013;1609
28/02/2013;1718
01/03/2013;1672
04/03/2013;1672
05/03/2013;1554
06/03/2013;1581
07/03/2013;1581
08/03/2013;1599
11/03/2013;1599
13/03/2013;1618
14/03/2013;1599
15/03/2013;1599
18/03/2013;1554
19/03/2013;1572
20/03/2013;1581
21/03/2013;1590
22/03/2013;1545
25/03/2013;1563
26/03/2013;1590
27/03/2013;1599
28/03/2013;1590
01/04/2013;1581
02/04/2013;1590
03/04/2013;1572
04/04/2013;1554
05/04/2013;1545
08/04/2013;1536
09/04/2013;1545
10/04/2013;1527
11/04/2013;1536
12/04/2013;1509
15/04/2013;1509
16/04/2013;1518
17/04/2013;1545
18/04/2013;1572
19/04/2013;1590
22/04/2013;1581
23/04/2013;1581
24/04/2013;1590
25/04/2013;1636
26/04/2013;1663
29/04/2013;1672
30/04/2013;1709
01/05/2013;1754
02/05/2013;1699
03/05/2013;1618
06/05/2013;1672
07/05/2013;1718
08/05/2013;1681
10/05/2013;1690
13/05/2013;1645
14/05/2013;1690
15/05/2013;1681
16/05/2013;1672
17/05/2013;1699
20/05/2013;1718
21/05/2013;1718
22/05/2013;1690
23/05/2013;1690
24/05/2013;1690
27/05/2013;1654
28/05/2013;1690
29/05/2013;1681
30/05/2013;1645
31/05/2013;1618
03/06/2013;1572
04/06/2013;1590
05/06/2013;1536
07/06/2013;1499
10/06/2013;1490
11/06/2013;1427
12/06/2013;1390
13/06/2013;1345
14/06/2013;1427
17/06/2013;1427
18/06/2013;1481
19/06/2013;1454
20/06/2013;1345
21/06/2013;1309
24/06/2013;1290
25/06/2013;1290
26/06/2013;1336
27/06/2013;1345
28/06/2013;1409
01/07/2013;1445
02/07/2013;1427
03/07/2013;1363
04/07/2013;1409
05/07/2013;1409
08/07/2013;1327
09/07/2013;1318
10/07/2013;1318
11/07/2013;1372
12/07/2013;1427
15/07/2013;1418
16/07/2013;1427
17/07/2013;1436
18/07/2013;1472
19/07/2013;1472
22/07/2013;1436
23/07/2013;1490
24/07/2013;1472
25/07/2013;1463
26/07/2013;1472
29/07/2013;1427
30/07/2013;1472
31/07/2013;1499
01/08/2013;1481
02/08/2013;1490
12/08/2013;1499
13/08/2013;1499
14/08/2013;1509
15/08/2013;1509
16/08/2013;1418
19/08/2013;1299
20/08/2013;1245
21/08/2013;1227
22/08/2013;1172
23/08/2013;1209
26/08/2013;1218
27/08/2013;1190
28/08/2013;1199
29/08/2013;1199
30/08/2013;1199
02/09/2013;1154
03/09/2013;1190
04/09/2013;1209
05/09/2013;1218
06/09/2013;1227
09/09/2013;1309
10/09/2013;1463
11/09/2013;1454
12/09/2013;1418
13/09/2013;1427
16/09/2013;1490
17/09/2013;1481
18/09/2013;1418
19/09/2013;1518
20/09/2013;1445
23/09/2013;1427
24/09/2013;1418
25/09/2013;1372
26/09/2013;1399
27/09/2013;1390
30/09/2013;1318
01/10/2013;1336
02/10/2013;1363
03/10/2013;1372
04/10/2013;1363
07/10/2013;1372
08/10/2013;1436
09/10/2013;1436
10/10/2013;1463
11/10/2013;1463
16/10/2013;1481
17/10/2013;1481
18/10/2013;1490
21/10/2013;1481
22/10/2013;1463
23/10/2013;1481
24/10/2013;1518
25/10/2013;1536
28/10/2013;1518
29/10/2013;1463
30/10/2013;1454
31/10/2013;1436
01/11/2013;1390
04/11/2013;1399
06/11/2013;1409
07/11/2013;1454
08/11/2013;1454
11/11/2013;1436
12/11/2013;1381
13/11/2013;1327
14/11/2013;1381
15/11/2013;1390
18/11/2013;1409
19/11/2013;1418
20/11/2013;1390
21/11/2013;1399
22/11/2013;1390
25/11/2013;1399
26/11/2013;1345
27/11/2013;1327
28/11/2013;1318
29/11/2013;1354
02/12/2013;1399
03/12/2013;1381
04/12/2013;1363
05/12/2013;1336
06/12/2013;1299
09/12/2013;1327
10/12/2013;1318
11/12/2013;1336
12/12/2013;1299
13/12/2013;1272
16/12/2013;1236
17/12/2013;1263
18/12/2013;1290
19/12/2013;1290
20/12/2013;1245
23/12/2013;1272
24/12/2013;1272
27/12/2013;1299
30/12/2013;1318
02/01/2014;1327
03/01/2014;1318
06/01/2014;1277
07/01/2014;1286
08/01/2014;1304
09/01/2014;1331
10/01/2014;1381
13/01/2014;1522
15/01/2014;1540
16/01/2014;1472
17/01/2014;1513
20/01/2014;1490
21/01/2014;1513
22/01/2014;1527
23/01/2014;1581
24/01/2014;1527
27/01/2014;1499
28/01/2014;1486
29/01/2014;1509
30/01/2014;1513
03/02/2014;1509
04/02/2014;1504
05/02/2014;1513
06/02/2014;1527
07/02/2014;1586
10/02/2014;1581
11/02/2014;1599
12/02/2014;1577
13/02/2014;1581
14/02/2014;1586
17/02/2014;1627
18/02/2014;1636
19/02/2014;1704
20/02/2014;1736
21/02/2014;1754
24/02/2014;1754
25/02/2014;1713
26/02/2014;1713
27/02/2014;1672
28/02/2014;1686
03/03/2014;1681
04/03/2014;1663
05/03/2014;1686
06/03/2014;1731
07/03/2014;1681
10/03/2014;1649
11/03/2014;1677
12/03/2014;1663
13/03/2014;1695
14/03/2014;1872
17/03/2014;1818
18/03/2014;1763
19/03/2014;1786
20/03/2014;1736
21/03/2014;1690
24/03/2014;1713
25/03/2014;1731
26/03/2014;1718
27/03/2014;1718
28/03/2014;1740
01/04/2014;1818
02/04/2014;1818
03/04/2014;1836
04/04/2014;1809
07/04/2014;1822
08/04/2014;1849
09/04/2014;1849
10/04/2014;1713
11/04/2014;1736
14/04/2014;1777
15/04/2014;1790
16/04/2014;1809
17/04/2014;1818
21/04/2014;1827
22/04/2014;1854
23/04/2014;1822
24/04/2014;1827
25/04/2014;1818
28/04/2014;1786
29/04/2014;1777
30/04/2014;1799
02/05/2014;1827
05/05/2014;1831
06/05/2014;1822
07/05/2014;1849
08/05/2014;1831
09/05/2014;1840
12/05/2014;1831
13/05/2014;1827
14/05/2014;1922
16/05/2014;1959
19/05/2014;1995
20/05/2014;1918
21/05/2014;1904
22/05/2014;1963
23/05/2014;1968
26/05/2014;1940
28/05/2014;1945
30/05/2014;1854
02/06/2014;1872
03/06/2014;1881
04/06/2014;1868
05/06/2014;1845
06/06/2014;1831
09/06/2014;1795
10/06/2014;1859
11/06/2014;1868
12/06/2014;1845
13/06/2014;1849
16/06/2014;1845
17/06/2014;1849
18/06/2014;1836
19/06/2014;1827
20/06/2014;1818
23/06/2014;1804
24/06/2014;1818
25/06/2014;1831
26/06/2014;1827
27/06/2014;1836
30/06/2014;1877
01/07/2014;1886
02/07/2014;1872
03/07/2014;1849
04/07/2014;1854
07/07/2014;1918
08/07/2014;2031
09/07/2014;2031
10/07/2014;2122
11/07/2014;2090
14/07/2014;2068
15/07/2014;2109
16/07/2014;2072
17/07/2014;2077
18/07/2014;2104
21/07/2014;2127
22/07/2014;2077
23/07/2014;2072
24/07/2014;2068
25/07/2014;2036
04/08/2014;1995
05/08/2014;1968
06/08/2014;1931
07/08/2014;1963
08/08/2014;1954
11/08/2014;1986
12/08/2014;1981
13/08/2014;1986
14/08/2014;1968
15/08/2014;1954
18/08/2014;1963
19/08/2014;1972
20/08/2014;2004
21/08/2014;2036
22/08/2014;2049
25/08/2014;2054
26/08/2014;2013
27/08/2014;2022
28/08/2014;2018
29/08/2014;2009
01/09/2014;2009
02/09/2014;2018
03/09/2014;2022
04/09/2014;2009
05/09/2014;1990
08/09/2014;1990
09/09/2014;1968
10/09/2014;1954
11/09/2014;1949
12/09/2014;1922
15/09/2014;1895
16/09/2014;1877
17/09/2014;1890
18/09/2014;1909
19/09/2014;1963
22/09/2014;1963
23/09/2014;1936
24/09/2014;1927
25/09/2014;1959
26/09/2014;1881
29/09/2014;1886
30/09/2014;1895
01/10/2014;1954
02/10/2014;1881
03/10/2014;1822
06/10/2014;1913
07/10/2014;1904
08/10/2014;1836
09/10/2014;1863
10/10/2014;1836
13/10/2014;1827
14/10/2014;1836
15/10/2014;1881
16/10/2014;1859
17/10/2014;1945
20/10/2014;1945
21/10/2014;1922
22/10/2014;1949
23/10/2014;1972
24/10/2014;1963
27/10/2014;1918
28/10/2014;1909
29/10/2014;1968
30/10/2014;1968
31/10/2014;2013
03/11/2014;2018
04/11/2014;2004
05/11/2014;2013
06/11/2014;1963
07/11/2014;1936
10/11/2014;1940
11/11/2014;1986
12/11/2014;1990
13/11/2014;1999
14/11/2014;2013
17/11/2014;2013
18/11/2014;2027
19/11/2014;2018
20/11/2014;2022
21/11/2014;2031
24/11/2014;2045
25/11/2014;2049
26/11/2014;2086
27/11/2014;2090
28/11/2014;2095
01/12/2014;2113
02/12/2014;2118
03/12/2014;2109
04/12/2014;2086
05/12/2014;2086
08/12/2014;2059
09/12/2014;2040
10/12/2014;2099
11/12/2014;2090
12/12/2014;2118
15/12/2014;2081
16/12/2014;2013
17/12/2014;2054
18/12/2014;2109
19/12/2014;2095
22/12/2014;2109
23/12/2014;2127
24/12/2014;2109
29/12/2014;2118
30/12/2014;2118
02/01/2015;2118
05/01/2015;2109
06/01/2015;2095
07/01/2015;2140
08/01/2015;2177
09/01/2015;2186
12/01/2015;2136
13/01/2015;2149
14/01/2015;2136
15/01/2015;2127
16/01/2015;2104
19/01/2015;2109
20/01/2015;2090
21/01/2015;2077
22/01/2015;2086
23/01/2015;2159
26/01/2015;2159
27/01/2015;2168
28/01/2015;2127
29/01/2015;2127
30/01/2015;2122
02/02/2015;2131
03/02/2015;2136
04/02/2015;2140
05/02/2015;2127
06/02/2015;2118
09/02/2015;2122
10/02/2015;2118
11/02/2015;2127
12/02/2015;2159
13/02/2015;2181
16/02/2015;2186
17/02/2015;2181
18/02/2015;2268
20/02/2015;2313
23/02/2015;2309
24/02/2015;2327
25/02/2015;2349
26/02/2015;2354
27/02/2015;2340
02/03/2015;2354
03/03/2015;2340
04/03/2015;2331
05/03/2015;2336
06/03/2015;2377
09/03/2015;2349
10/03/2015;2340
11/03/2015;2336
12/03/2015;2345
13/03/2015;2318
16/03/2015;2345
17/03/2015;2349
18/03/2015;2359
19/03/2015;2372
20/03/2015;2345
23/03/2015;2345
24/03/2015;2363
25/03/2015;2390
26/03/2015;2386
27/03/2015;2377
30/03/2015;2368
31/03/2015;2413
01/04/2015;2363
02/04/2015;2363
06/04/2015;2368
07/04/2015;2395
08/04/2015;2381
09/04/2015;2377
10/04/2015;2368
13/04/2015;2363
14/04/2015;2363
15/04/2015;2377
16/04/2015;2386
17/04/2015;2363
20/04/2015;2390
21/04/2015;2399
22/04/2015;2395
23/04/2015;2372
24/04/2015;2354
27/04/2015;2186
28/04/2015;2159
29/04/2015;2113
30/04/2015;2113
04/05/2015;2113
05/05/2015;2127
