Date;Close
02/01/2013;2062
03/01/2013;2050
04/01/2013;2062
07/01/2013;2050
08/01/2013;2087
09/01/2013;2062
10/01/2013;2012
11/01/2013;2012
14/01/2013;2100
15/01/2013;2125
16/01/2013;2150
17/01/2013;2150
18/01/2013;2175
21/01/2013;2137
22/01/2013;2100
23/01/2013;2112
25/01/2013;2200
28/01/2013;2187
29/01/2013;2162
30/01/2013;2225
31/01/2013;2262
01/02/2013;2250
04/02/2013;2225
05/02/2013;2212
06/02/2013;2200
07/02/2013;2200
08/02/2013;2212
11/02/2013;2187
12/02/2013;2237
13/02/2013;2250
14/02/2013;2275
15/02/2013;2275
18/02/2013;2275
19/02/2013;2275
20/02/2013;2312
21/02/2013;2337
22/02/2013;2387
25/02/2013;2437
26/02/2013;2425
27/02/2013;2475
28/02/2013;2512
01/03/2013;2475
04/03/2013;2475
05/03/2013;2387
06/03/2013;2412
07/03/2013;2462
08/03/2013;2462
11/03/2013;2487
13/03/2013;2475
14/03/2013;2462
15/03/2013;2500
18/03/2013;2475
19/03/2013;2512
20/03/2013;2475
21/03/2013;2400
22/03/2013;2387
25/03/2013;2387
26/03/2013;2400
27/03/2013;2500
28/03/2013;2500
01/04/2013;2475
02/04/2013;2462
03/04/2013;2500
04/04/2013;2475
05/04/2013;2512
08/04/2013;2500
09/04/2013;2550
10/04/2013;2525
11/04/2013;2550
12/04/2013;2587
15/04/2013;2537
16/04/2013;2587
17/04/2013;2650
18/04/2013;2687
19/04/2013;2650
22/04/2013;2675
23/04/2013;2675
24/04/2013;2625
25/04/2013;2650
26/04/2013;2662
29/04/2013;2650
30/04/2013;2625
01/05/2013;2637
02/05/2013;2537
03/05/2013;2450
06/05/2013;2512
07/05/2013;2562
08/05/2013;2587
10/05/2013;2575
13/05/2013;2512
14/05/2013;2537
15/05/2013;2537
16/05/2013;2512
17/05/2013;2512
20/05/2013;2600
21/05/2013;2587
22/05/2013;2562
23/05/2013;2537
24/05/2013;2512
27/05/2013;2500
28/05/2013;2550
29/05/2013;2550
30/05/2013;2475
31/05/2013;2425
03/06/2013;2400
04/06/2013;2462
05/06/2013;2400
07/06/2013;2350
10/06/2013;2262
11/06/2013;2212
12/06/2013;2200
13/06/2013;2225
14/06/2013;2362
17/06/2013;2275
18/06/2013;2350
19/06/2013;2350
20/06/2013;2187
21/06/2013;2150
24/06/2013;2100
25/06/2013;2062
26/06/2013;2137
27/06/2013;2187
28/06/2013;2250
01/07/2013;2225
02/07/2013;2137
03/07/2013;2025
04/07/2013;2037
05/07/2013;2037
08/07/2013;1887
09/07/2013;1875
10/07/2013;1937
11/07/2013;2125
12/07/2013;2062
15/07/2013;2050
16/07/2013;2112
17/07/2013;2125
18/07/2013;2200
19/07/2013;2175
22/07/2013;2125
23/07/2013;2237
24/07/2013;2225
25/07/2013;2150
26/07/2013;2187
29/07/2013;2175
30/07/2013;2175
31/07/2013;2225
01/08/2013;2200
02/08/2013;2175
12/08/2013;2100
13/08/2013;2100
14/08/2013;2150
15/08/2013;2150
16/08/2013;2075
19/08/2013;1912
20/08/2013;1950
21/08/2013;1900
22/08/2013;1862
23/08/2013;1850
26/08/2013;1775
27/08/2013;1662
28/08/2013;1725
29/08/2013;1737
30/08/2013;1775
02/09/2013;1675
03/09/2013;1750
04/09/2013;1700
05/09/2013;1700
06/09/2013;1675
09/09/2013;1737
10/09/2013;1975
11/09/2013;2000
12/09/2013;2087
13/09/2013;2125
16/09/2013;2237
17/09/2013;2250
18/09/2013;2162
19/09/2013;2312
20/09/2013;2237
23/09/2013;2175
24/09/2013;2150
25/09/2013;2062
26/09/2013;2050
27/09/2013;2075
30/09/2013;1987
01/10/2013;2050
02/10/2013;2087
03/10/2013;2100
04/10/2013;2087
07/10/2013;2075
08/10/2013;2150
09/10/2013;2175
10/10/2013;2187
11/10/2013;2137
16/10/2013;2112
17/10/2013;2087
18/10/2013;2062
21/10/2013;2075
22/10/2013;2037
23/10/2013;2112
24/10/2013;2200
25/10/2013;2200
28/10/2013;2175
29/10/2013;2162
30/10/2013;2187
31/10/2013;2150
01/11/2013;2087
04/11/2013;2062
06/11/2013;2062
07/11/2013;2087
08/11/2013;2050
11/11/2013;2000
12/11/2013;1925
13/11/2013;1862
14/11/2013;1975
15/11/2013;1950
18/11/2013;1962
19/11/2013;1925
20/11/2013;1912
21/11/2013;1887
22/11/2013;1887
25/11/2013;1950
26/11/2013;1925
27/11/2013;1887
28/11/2013;1875
29/11/2013;1912
02/12/2013;1925
03/12/2013;1962
04/12/2013;1912
05/12/2013;1900
06/12/2013;1825
09/12/2013;1912
10/12/2013;1962
11/12/2013;1950
12/12/2013;1912
13/12/2013;1925
16/12/2013;1875
17/12/2013;1962
18/12/2013;1925
19/12/2013;1987
20/12/2013;2000
23/12/2013;1962
24/12/2013;1950
27/12/2013;1912
30/12/2013;1962
02/01/2014;2025
03/01/2014;1950
06/01/2014;1912
07/01/2014;1906
08/01/2014;1956
09/01/2014;1950
10/01/2014;2062
13/01/2014;2200
15/01/2014;2200
16/01/2014;2156
17/01/2014;2187
20/01/2014;2187
21/01/2014;2193
22/01/2014;2237
23/01/2014;2218
24/01/2014;2168
27/01/2014;2075
28/01/2014;2068
29/01/2014;2175
30/01/2014;2175
03/02/2014;2175
04/02/2014;2131
05/02/2014;2150
06/02/2014;2156
07/02/2014;2193
10/02/2014;2187
11/02/2014;2237
12/02/2014;2243
